title,author,price,rating,number_of_ratings,product_url
The Girl Who Fell Beneath the Sea,Axie Oh,$18.19,4.16,33947,https://www.bookdepository.com/Girl-Who-Fell-Beneath-Sea-Axie-Oh/9781529391732
Never Never,Colleen Hoover,$20.31,4,92100,https://www.bookdepository.com/Never-Never-Colleen-Hoover/9780008620486
Teen Titans: Robin,Kami Garcia,$30.06,4.24,313,https://www.bookdepository.com/Teen-Titans-Robin-Kami-Garcia/9781779512246
The Adventures of Amina Al-Sirafi,Shannon Chakraborty,$40.97,4.48,1295,https://www.bookdepository.com/Adventures-Amina-Al-Sirafi-Shannon-Chakraborty/9780008381349
Enchantment,Katherine May,$29.71,4.03,284,https://www.bookdepository.com/Enchantment-Katherine-May/9780571378333
Babi Yar,Anatoly Kuznetsov,$32.38,4.32,1571,https://www.bookdepository.com/Babi-Yar-Anatoly-Kuznetsov/9781250883834
"Sasaki and Miyano, Vol. 7",Shou Harusono,$19.79,4.64,1229,https://www.bookdepository.com/Sasaki-Miyano-Vol-7-Shou-Harusono/9781975341947
Hags,Victoria Smith,$33.88,3.93,15,https://www.bookdepository.com/Hags-Victoria-Smith/9780349726960
In Memoriam,Alice Winn,$31.64,4.68,214,https://www.bookdepository.com/Memoriam-Alice-Winn/9780241567821
Me vs Brain,Hayley Morris,$34.03,4.43,263,https://www.bookdepository.com/Me-vs-Brain-Hayley-Morris/9781529196047
Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 5 (Special Edition),Mo Xiang Tong Xiu;,$26.99,4.69,718,https://www.bookdepository.com/Grandmaster-Demonic-Cultivation-Mo-Dao-Zu-Shi-Novel-Vol-5-Special-Edition-Mo-Xiang-Tong-Xiu/9781685798406
Outlive,Peter Attia,$32.93,4,1,https://www.bookdepository.com/Outlive-Peter-Attia/9781785044540
Heartless,Elsie Silver,$17.52,4.44,29522,https://www.bookdepository.com/Heartless-Elsie-Silver/9780349437682
Flawless,Elsie Silver,$16.75,4.23,31599,https://www.bookdepository.com/Flawless-Elsie-Silver/9780349437675
Powerless,Elsie Silver,$17.91,4.45,6120,https://www.bookdepository.com/Powerless-Elsie-Silver/9780349437705
